end_date,km
2025-07-06,5.0245
2025-07-13,1.8516
2025-07-20,0.0
2025-07-27,0.0
2025-08-03,0.0
2025-08-10,0.0
2025-08-17,0.0
2025-08-24,0.0
2025-08-31,0.0
2025-09-07,0.0
2025-09-14,0.0
2025-09-21,0.0
2025-09-28,0.0
2025-10-05,7.1318
2025-10-12,6.2542
2025-10-19,7.1615
2025-10-26,3.7331999999999996
2025-11-02,8.0245
2025-11-09,2.7731999999999997
2025-11-16,0.0
2025-11-23,14.116799999999998
2025-11-30,11.319600000000001
2025-12-07,10.5183
2025-12-14,10.8904
2025-12-21,3.4600999999999997
2025-12-28,13.0435
2026-01-04,17.336
2026-01-11,20.8945
2026-01-18,23.2466
2026-01-25,20.6217
2026-02-01,5.0
2026-02-08,40.767
2026-02-15,10.599599999999999
2026-02-22,19.0185
2026-03-01,5.0078000000000005
